"","x"
"1",1.683748
"2",2.093704
"3",1.732581
"4",1.779754
"5",4.612006
"6",8.725274
"7",7.898975
"8",2.208045
"9",1.486091
"10",2.796171
"11",7.320644
"12",3.367496
"13",1.464129
"14",1.722223
"15",11.374817
"16",2.482739
"17",26.214641
"18",2.00243
"19",4.530015
"20",1.841753
"21",3.806735
"22",14.122076
"23",5.424253
"24",11.713031
"25",1.515373
"26",2.538589
"27",2.04978
"28",12.465593
"29",1.735445
"30",1.683748
"31",3.323852
"32",1.821025
"33",2.415813
"34",1.464129
"35",5.875902
"36",1.792439
"37",3.338214
"38",1.584488
"39",1.931321
"40",2.04978
"41",1.573758
"42",1.756955
"43",4.931186
"44",5.417277
"45",1.537335
"46",17.569546
"47",1.691123
"48",1.581612
"49",1.467116
"50",2.04978
"51",1.928712
"52",3.263154
"53",1.704246
"54",2.074608
"55",3.29429
"56",1.839975
"57",7.320644
"58",7.320644
"59",1.576215
"60",4.856098
"61",1.542275
"62",13.620791
"63",1.756955
"64",1.639824
"65",2.036378
"66",21.961933
"67",1.799026
"68",2.452416
"69",2.669107
"70",2.024146
"71",1.724744
"72",1.643864
"73",1.961933
"74",4.626647
"75",1.464129
"76",3.96325
"77",5.563852
"78",4.392387
"79",3.640313
"80",1.677892
"81",1.449488
"82",263.250366
"83",2.500732
"84",1.825769
"85",9.88287
"86",2.146618
"87",2.870259
"88",6.319914
"89",2.123461
"90",2.923865
"91",2.036376
"92",1.736457
"93",2.04978
"94",1.903367
"95",1.610542
"96",1.717423
"97",3.129438
"98",2.051958
"99",1.967518
"100",2.102489
"101",3.259151
"102",1.998536
"103",5.417277
"104",2.819836
"105",3.697083
"106",2.045388
"107",2.679356
"108",3.426224
"109",1.58858
"110",4.262871
"111",1.755859
"112",1.987006
"113",1.661925
"114",7.61347
"115",1.794878
"116",6.674817
"117",2.185944
"118",3.855051
"119",3.221083
"120",2.122987
"121",1.760291
"122",2.041653
"123",3.755939
"124",2.242111
"125",1.721113
"126",1.464129
"127",4.711892
"128",2.153824
"129",3.874813
"130",19.070278
"131",1.887262
"132",1.464129
"133",1.536164
"134",2.560066
"135",2.799707
"136",2.013177
"137",1.464129
"138",6.325037
"139",1.5673
"140",2.196193
"141",2.335286
"142",2.115666
"143",1.469545
"144",5.402635
"145",5.314788
"146",2.872621
"147",2.781845
"148",2.576821
"149",3.101025
"150",1.464129
"151",2.04978
"152",1.961933
"153",1.464129
"154",2.635432
"155",1.464129
"156",5.856515
"157",3.29429
"158",2.520857
"159",19.472914
"160",1.835463
"161",2.04978
"162",2.783309
"163",2.781845
"164",1.756955
"165",2.84041
"166",2.330893
"167",1.756225
"168",1.314548
"169",2.403971
"170",6.91563
"171",1.491877
"172",1.532396
"173",1.873861
"174",1.815203
"175",8.256881
"176",1.410204
"177",2.206625
"178",34.141547
"179",2.443311
"180",3.59437
"181",2.372215
"182",3.669725
"183",6.888453
"184",1.802097
"185",1.441678
"186",9.174312
"187",2.096986
"188",2.814548
"189",1.684903
"190",2.099607
"191",2.621232
"192",1.376147
"193",1.664482
"194",2.359109
"195",4.136488
"196",1.394396
"197",1.802097
"198",1.819135
"199",1.513761
"200",3.080773
"201",20.969856
"202",4.193971
"203",1.861644
"204",2.496723
"205",2.213781
"206",5.242464
"207",1.322254
"208",8.551769
"209",1.965924
"210",12.895151
"211",1.788991
"212",2.176827
"213",8.777628
"214",1.815203
"215",1.68314
"216",3.643512
"217",1.613368
"218",1.46789
"219",1.405604
"220",3.120803
"221",1.598181
"222",3.800786
"223",1.510089
"224",1.572739
"225",1.830052
"226",2.621232
"227",2.806481
"228",1.357798
"229",1.618611
"230",1.965924
"231",3.02228
"232",56.225426
"233",4.980341
"234",1.987163
"235",1.965924
"236",2.711292
"237",1.900393
"238",1.72346
"239",1.572739
"240",1.703801
"241",3.019659
"242",1.834862
"243",1.419397
"244",4.390564
"245",7.863696
"246",1.572739
"247",1.336613
"248",1.703801
"249",2.635623
"250",1.864718
"251",1.457755
"252",7.558322
"253",2.031397
"254",1.349934
"255",1.474862
"256",5.111402
"257",5.242464
"258",1.441678
"259",3.936139
"260",4.06291
"261",1.376147
"262",1.684142
"263",1.44062
"264",1.364549
"265",1.572739
"266",2.185422
"267",3.281346
"268",1.363101
"269",2.123198
"270",2.634338
"271",2.098296
"272",3.434353
"273",1.478796
"274",2.621232
"275",3.001311
"276",1.429734
"277",10.222805
